code_insee,population,superficie,densite
02246,608,9.4,64.68085106382979
02248,156,6.46,24.148606811145513
02249,101,8.54,11.826697892271664
02250,72,5.15,13.980582524271844
02251,27,4.79,5.6367432150313155
02252,71,4.97,14.285714285714286
02253,357,9.17,38.93129770992366
02254,128,4.79,26.7223382045929
02255,155,4.39,35.307517084282466
02256,130,10.04,12.948207171314742
02257,437,5.81,75.21514629948365
02258,372,7.96,46.733668341708544
02259,390,8.19,47.61904761904762
02260,654,4.49,145.65701559020044
02261,389,11.17,34.82542524619517
02262,208,3.76,55.319148936170215
02263,114,6.81,16.740088105726873
02264,724,19.96,36.27254509018036
02265,93,8.1,11.481481481481483
02266,44,3.38,13.017751479289942
02267,297,7.24,41.02209944751381
02268,635,4.56,139.2543859649123
02269,154,10.5,14.666666666666666
02270,164,5.05,32.475247524752476
02271,129,15.67,8.232291001914486
02272,77,5.42,14.206642066420665
02273,199,7.74,25.710594315245476
02274,192,13.03,14.735226400613968
02275,316,2.77,114.07942238267148
02276,115,7.97,14.429109159347554
02277,343,11.0,31.181818181818183
02278,30,7.52,3.9893617021276597
02279,552,19.5,28.307692307692307
02280,408,18.66,21.864951768488744
02281,252,12.37,20.371867421180276
02282,432,7.71,56.03112840466926
02283,285,8.9,32.02247191011236
02284,104,7.44,13.978494623655914
02286,861,16.21,53.115360888340525
02287,1045,13.38,78.101644245142
02288,349,4.53,77.0419426048565
02289,413,7.31,56.49794801641587
02290,2730,28.55,95.6217162872154
02291,410,7.04,58.23863636363637
02292,1331,2.24,594.1964285714286
02293,551,13.68,40.27777777777778
02294,206,2.38,86.5546218487395
02295,850,17.59,48.32291074474133
02296,1187,8.69,136.59378596087458
02297,123,5.13,23.976608187134502
02298,1454,10.36,140.34749034749035
02299,534,9.15,58.36065573770492
02302,332,13.79,24.075416968817986
02303,684,5.86,116.7235494880546
02304,2845,6.73,422.7340267459138
02305,2970,20.4,145.58823529411765
02306,513,23.92,21.44648829431438
02307,2055,18.35,111.98910081743868
02308,489,16.06,30.44831880448319
02309,683,6.67,102.39880059970015
02310,250,7.74,32.29974160206718
02311,118,4.78,24.686192468619247
02312,1088,26.43,41.165342413923575
02313,444,13.63,32.57520176082171
02315,1660,12.83,129.3842556508184
02316,124,6.51,19.047619047619047
02317,212,5.24,40.45801526717557
02318,1377,8.85,155.59322033898306
02319,500,9.6,52.083333333333336
02320,233,5.33,43.71482176360225
02321,892,19.74,45.187436676798384
02322,383,11.9,32.18487394957983
02323,138,5.77,23.91681109185442
02324,288,10.47,27.507163323782233
02326,467,9.03,51.71650055370986
02327,159,4.94,32.18623481781376
02328,512,7.18,71.3091922005571
02329,434,9.45,45.92592592592593
02330,546,5.43,100.5524861878453
02331,108,3.04,35.526315789473685
02332,271,8.84,30.65610859728507
02333,163,7.3,22.328767123287673
02334,2946,15.07,195.48772395487723
02335,179,2.51,71.31474103585658
02336,981,15.26,64.28571428571429
02337,177,4.91,36.04887983706721
02338,250,8.81,28.376844494892165
02339,695,10.03,69.29212362911267
02340,5216,6.24,835.8974358974359
02341,262,6.33,41.39020537124802
02342,130,5.86,22.18430034129693
02343,82,4.54,18.061674008810574
02345,40,2.69,14.869888475836431
02346,654,10.25,63.80487804878049
02347,438,5.65,77.5221238938053
02349,56,5.54,10.108303249097473
02350,138,8.73,15.807560137457044
02351,113,8.43,13.404507710557533
02352,563,17.6,31.98863636363636
02353,281,20.3,13.842364532019705
02354,79,4.35,18.160919540229887
02355,945,9.92,95.26209677419355
02356,234,10.63,22.013170272812793
02357,70,7.1,9.859154929577466
02358,321,11.26,28.507992895204264
02359,1274,5.08,250.78740157480314
02360,2780,25.03,111.06671993607671
02361,4559,16.13,282.64104153750776
02362,238,7.15,33.28671328671329
02363,374,9.32,40.128755364806864
02364,254,4.2,60.476190476190474
02366,326,9.16,35.58951965065502
02367,146,5.18,28.18532818532819
02368,568,12.24,46.40522875816993
02369,242,7.57,31.968295904887714
02370,590,8.12,72.6600985221675
02371,1567,3.76,416.75531914893617
02372,344,6.31,54.516640253565775
02373,193,11.04,17.481884057971016
02374,853,9.37,91.03521878335113
02375,160,7.29,21.947873799725652
02376,177,7.1,24.929577464788732
02377,133,9.34,14.23982869379015
02378,126,4.22,29.857819905213272
02379,198,9.27,21.359223300970875
02380,26,3.09,8.414239482200648
02381,8685,33.77,257.18092981936627
02382,1360,6.37,213.50078492935634
02383,1441,14.29,100.83974807557733
02384,57,3.48,16.379310344827587
02385,165,13.2,12.5
02386,225,9.51,23.659305993690854
02387,1007,7.11,141.63150492264415
02388,221,7.45,29.664429530201343
02389,666,1.78,374.1573033707865
02390,260,5.82,44.67353951890034
02391,212,15.61,13.581037796284434
02392,317,7.25,43.724137931034484
02393,139,7.84,17.729591836734695
02395,139,6.2,22.419354838709676
02396,63,2.49,25.301204819277107
02397,1252,13.37,93.64248317127898
02398,281,13.85,20.28880866425993
02399,615,29.82,20.62374245472837
02400,152,6.76,22.485207100591715
02401,191,10.83,17.636195752539244
02402,37,3.69,10.02710027100271
02403,257,19.6,13.112244897959183
02404,183,10.12,18.08300395256917
02405,535,15.76,33.94670050761422
02406,131,5.83,22.46998284734134
02407,208,3.0,69.33333333333333
02408,24091,42.0,573.5952380952381
02409,272,23.71,11.471952762547447
02410,242,9.53,25.39349422875131
02411,200,9.32,21.459227467811157
02412,100,9.1,10.989010989010989
02413,241,4.51,53.43680709534368
02414,201,4.44,45.27027027027027
02415,159,7.22,22.022160664819946
02416,417,11.36,36.70774647887324
02417,120,2.62,45.80152671755725
02418,223,11.54,19.32409012131716
02419,268,14.69,18.243703199455414
02420,830,10.63,78.08090310442144
02421,99,6.65,14.887218045112782
02422,802,16.21,49.47563232572486
02423,426,12.69,33.56973995271868
02424,103,3.69,27.913279132791327
02425,173,10.19,16.977428851815507
02426,541,7.67,70.53455019556715
02427,140,4.95,28.28282828282828
02428,74,4.09,18.092909535452325
02429,123,3.77,32.62599469496021
02430,1270,9.96,127.51004016064256
02431,378,5.45,69.35779816513761
02432,190,5.55,34.234234234234236
02433,219,8.2,26.707317073170735
